dir,paket,status,version
a,apt-sources-list,add,2.0.2+xentaos2
a,apturl,add,0.5.4+xentaos2
b,base-files,add,99.2.0+xentaos2
d,desktop-file-utils,,
g,grub2-theme-xenta,add,1.3.4+xentaos2
l,libreoffice-style-xenta,add,1.3.2+xentaos2
m,mdm,,
m,muffin,,
p,paketku,,
p,plymouth,,
p,plymouth-theme-xentaos,,
s,seed,,
s,syslinux-themes-xentaos,,
u,ubiquity,,
u,ubiquity-slideshow-xenta,,
u,ubuntu-system-adjustments,,
x,xenta-artwork,,
x,xenta-artwork-applications,,
x,xenta-artwork-cinnamon,,
x,xenta-artwork-common,,
x,xenta-artwork-gnome,,
x,xenta-artwork-xfce,,
x,xenta-backgrounds,,
x,xenta-backgrounds-arok,,
x,xenta-backgrounds-batik,,
x,xenta-backgrounds-xfce,,
x,xenta-base-common,,
x,xenta-common,,
x,xentadesktop,,
x,xenta-icons,,
x,xenta-info,,
x,xenta-mdm-themes,,
x,xenta-mdm-themes-gdm,,
x,xenta-mdm-themes-html,,
x,xenta-meta-core,,
x,xenta-meta-xfce,,
x,xenta-mirrors,,
x,xentaos-keyring,,
x,xenta-psdthumbnailer,,
x,xentaremaster,,
x,xentascreenfetch,,
x,xenta-software-center,,
x,xentasources,,
x,xentasystem,,
x,xenta-themes,,
x,xenta-themes-gtk3,,
x,xenta-translations,,
x,xenta-user-guide,,
x,xenta-welcome-screen,,
x,xenta-x-icons,,
x,xenta-x-theme,,
x,xenta-y-theme ,,
